"name","essround","edition","proddate","idno","cntry","dweight","pweight","happy","gndr","agea","hinctnta","prob","stratum","psu"
"ESS11e01",11,"1.0","20.06.2024",50014,"AT",1.1851145,0.33091453,8,1,65,6,0.0005786479,107,317
"ESS11e01",11,"1.0","20.06.2024",50030,"AT",0.6098981,0.33091453,9,2,21,1,0.0011243912,69,128
"ESS11e01",11,"1.0","20.06.2024",50057,"AT",1.3923296,0.33091453,9,2,53,5,0.00049253,18,418
"ESS11e01",11,"1.0","20.06.2024",50106,"AT",0.5560615,0.33091453,7,2,78,2,0.0012332522,101,295
"ESS11e01",11,"1.0","20.06.2024",50145,"AT",0.7227953,0.33091453,9,1,64,77,0.0009487666,115,344
"ESS11e01",11,"1.0","20.06.2024",50158,"AT",0.9926053,0.33091453,8,2,59,9,0.0006908728,7,373
"ESS11e01",11,"1.0","20.06.2024",50211,"AT",0.5403178,0.33091453,7,2,77,3,0.0012691865,58,86
"ESS11e01",11,"1.0","20.06.2024",50212,"AT",0.81462234,0.33091453,8,2,69,10,0.0008418184,38,3
"ESS11e01",11,"1.0","20.06.2024",50213,"AT",1.3649563,0.33091453,8,2,52,8,0.0005024074,62,108
"ESS11e01",11,"1.0","20.06.2024",50235,"AT",0.872949,0.33091453,7,2,75,3,0.0007855717,105,314
"ESS11e01",11,"1.0","20.06.2024",50236,"AT",0.6989865,0.33091453,8,2,44,4,0.0009810835,26,622
"ESS11e01",11,"1.0","20.06.2024",50238,"AT",0.8320375,0.33091453,5,1,49,6,0.0008241984,94,242
"ESS11e01",11,"1.0","20.06.2024",50240,"AT",0.87345386,0.33091453,7,2,63,77,0.0007851177,100,270
"ESS11e01",11,"1.0","20.06.2024",50248,"AT",0.9025512,0.33091453,8,2,76,77,0.00075980625,98,255
"ESS11e01",11,"1.0","20.06.2024",50270,"AT",0.58181804,0.33091453,5,2,30,8,0.0011786572,5,368
"ESS11e01",11,"1.0","20.06.2024",50281,"AT",0.69352174,0.33091453,9,2,67,5,0.000988814,35,783
"ESS11e01",11,"1.0","20.06.2024",50310,"AT",2.3245115,0.33091453,10,1,41,8,0.00029501427,75,165
"ESS11e01",11,"1.0","20.06.2024",50311,"AT",0.9926053,0.33091453,8,2,82,6,0.0006908728,7,373
"ESS11e01",11,"1.0","20.06.2024",50324,"AT",1.0702981,0.33091453,8,1,26,88,0.00064072246,56,73
"ESS11e01",11,"1.0","20.06.2024",50339,"AT",0.5560615,0.33091453,5,1,42,1,0.0012332522,101,283
"ESS11e01",11,"1.0","20.06.2024",50341,"AT",0.48294935,0.33091453,8,2,85,2,0.0014199503,17,414
"ESS11e01",11,"1.0","20.06.2024",50349,"AT",0.9926053,0.33091453,7,1,72,2,0.0006908728,7,373
"ESS11e01",11,"1.0","20.06.2024",50355,"AT",0.7366085,0.33091453,5,1,31,2,0.0009309749,21,610
"ESS11e01",11,"1.0","20.06.2024",50358,"AT",1.9501987,0.33091453,8,1,47,88,0.00035163807,23,429
"ESS11e01",11,"1.0","20.06.2024",50363,"AT",1.9560468,0.33091453,8,2,50,8,0.00035058672,45,31
"ESS11e01",11,"1.0","20.06.2024",50367,"AT",0.6098981,0.33091453,8,2,60,3,0.0011243912,69,132
"ESS11e01",11,"1.0","20.06.2024",50375,"AT",1.4462273,0.33091453,8,2,43,8,0.00047417445,41,19
"ESS11e01",11,"1.0","20.06.2024",50380,"AT",1.298475,0.33091453,8,2,41,8,0.00052813033,99,266
"ESS11e01",11,"1.0","20.06.2024",50412,"AT",1.329427,0.33091453,7,2,35,4,0.0005158343,77,177
"ESS11e01",11,"1.0","20.06.2024",50423,"AT",0.4598905,0.33091453,8,2,49,2,0.0014911463,67,121
"ESS11e01",11,"1.0","20.06.2024",50427,"AT",1.4547197,0.33091453,8,2,36,77,0.00047140633,113,339
"ESS11e01",11,"1.0","20.06.2024",50433,"AT",0.6670056,0.33091453,7,1,46,3,0.0010281234,28,660
"ESS11e01",11,"1.0","20.06.2024",50441,"AT",0.9669464,0.33091453,9,2,81,2,0.00070920587,61,105
"ESS11e01",11,"1.0","20.06.2024",50446,"AT",0.7417395,0.33091453,7,2,57,3,0.00092453486,29,684
"ESS11e01",11,"1.0","20.06.2024",50465,"AT",0.7803352,0.33091453,9,2,67,3,0.00087880704,63,506
"ESS11e01",11,"1.0","20.06.2024",50468,"AT",1.2012872,0.33091453,10,2,38,7,0.0005708578,112,335
"ESS11e01",11,"1.0","20.06.2024",50489,"AT",1.5597948,0.33091453,9,2,42,77,0.00043965018,44,475
"ESS11e01",11,"1.0","20.06.2024",50512,"AT",1.4378188,0.33091453,9,2,59,5,0.00047694752,25,442
"ESS11e01",11,"1.0","20.06.2024",50517,"AT",0.9332868,0.33091453,7,1,77,7,0.0007347838,71,155
"ESS11e01",11,"1.0","20.06.2024",50577,"AT",0.82740283,0.33091453,7,1,58,5,0.00082881516,108,319
"ESS11e01",11,"1.0","20.06.2024",50591,"AT",0.41601875,0.33091453,8,2,38,3,0.0016483968,94,243
"ESS11e01",11,"1.0","20.06.2024",50592,"AT",0.6494272,0.33091453,9,2,79,2,0.0010559522,10,388
"ESS11e01",11,"1.0","20.06.2024",50611,"AT",1.073635,0.33091453,8,2,25,6,0.00063873106,59,89
"ESS11e01",11,"1.0","20.06.2024",50623,"AT",0.9099707,0.33091453,9,2,34,6,0.0007536111,62,107
"ESS11e01",11,"1.0","20.06.2024",50637,"AT",0.68042654,0.33091453,8,1,74,1,0.0010078443,2,557
"ESS11e01",11,"1.0","20.06.2024",50638,"AT",0.55606145,0.33091453,7,1,74,2,0.0012332523,101,280
"ESS11e01",11,"1.0","20.06.2024",50651,"AT",0.4991056,0.33091453,8,2,36,5,0.0013739859,48,43
"ESS11e01",11,"1.0","20.06.2024",50681,"AT",1.159529,0.33091453,6,1,28,6,0.000591416,87,219
"ESS11e01",11,"1.0","20.06.2024",50687,"AT",0.7417395,0.33091453,7,1,65,9,0.00092453486,29,679
"ESS11e01",11,"1.0","20.06.2024",50707,"AT",1.021017,0.33091453,5,2,42,5,0.0006716481,11,394
"ESS11e01",11,"1.0","20.06.2024",50714,"AT",2.319058,0.33091453,6,1,60,77,0.000295708,87,219
"ESS11e01",11,"1.0","20.06.2024",50730,"AT",0.80748725,0.33091453,9,1,60,7,0.0008492568,22,425
"ESS11e01",11,"1.0","20.06.2024",50732,"AT",1.6209532,0.33091453,7,2,16,88,0.0004230622,58,83
"ESS11e01",11,"1.0","20.06.2024",50735,"AT",0.3912093,0.33091453,8,1,28,77,0.001752934,45,30
"ESS11e01",11,"1.0","20.06.2024",50812,"AT",0.9812141,0.33091453,9,2,71,77,0.0006988934,92,233
"ESS11e01",11,"1.0","20.06.2024",50868,"AT",0.4114013,0.33091453,3,2,20,4,0.0016668981,89,225
"ESS11e01",11,"1.0","20.06.2024",50897,"AT",0.5487113,0.33091453,7,2,80,2,0.0012497721,42,25
"ESS11e01",11,"1.0","20.06.2024",50910,"AT",0.5079797,0.33091453,8,2,75,1,0.0013499833,64,109
"ESS11e01",11,"1.0","20.06.2024",50979,"AT",0.6465898,0.33091453,8,1,51,77,0.001060586,37,836
"ESS11e01",11,"1.0","20.06.2024",50994,"AT",1.483479,0.33091453,7,2,87,6,0.00046226743,29,693
"ESS11e01",11,"1.0","20.06.2024",50995,"AT",1.2219335,0.33091453,9,2,57,9,0.00056121225,38,3
"ESS11e01",11,"1.0","20.06.2024",51015,"AT",0.9658987,0.33091453,8,1,76,6,0.00070997514,17,411
"ESS11e01",11,"1.0","20.06.2024",51029,"AT",0.65483123,0.33091453,6,1,61,3,0.0010472379,36,796
"ESS11e01",11,"1.0","20.06.2024",51042,"AT",1.6681843,0.33091453,7,2,43,77,0.0004110841,101,279
"ESS11e01",11,"1.0","20.06.2024",51046,"AT",0.47378042,0.33091453,6,2,76,88,0.0014474301,24,431
"ESS11e01",11,"1.0","20.06.2024",51086,"AT",0.41370142,0.33091453,8,2,43,9,0.0016576303,108,318
"ESS11e01",11,"1.0","20.06.2024",51112,"AT",1.6209534,0.33091453,8,1,51,6,0.00042306219,58,82
"ESS11e01",11,"1.0","20.06.2024",51128,"AT",2.2314548,0.33091453,9,1,69,9,0.00030731704,30,708
"ESS11e01",11,"1.0","20.06.2024",51136,"AT",1.2440618,0.33091453,9,2,47,88,0.0005512299,20,422
"ESS11e01",11,"1.0","20.06.2024",51181,"AT",1.3709402,0.33091453,7,1,89,6,0.0005002144,12,583
"ESS11e01",11,"1.0","20.06.2024",51190,"AT",1.073635,0.33091453,8,1,72,77,0.00063873106,59,89
"ESS11e01",11,"1.0","20.06.2024",51191,"AT",0.8656501,0.33091453,5,2,74,6,0.0007921954,99,263
"ESS11e01",11,"1.0","20.06.2024",51192,"AT",0.99821126,0.33091453,9,2,68,8,0.0006869929,48,42
"ESS11e01",11,"1.0","20.06.2024",51221,"AT",1.3078376,0.33091453,9,2,36,6,0.00052434957,109,328
"ESS11e01",11,"1.0","20.06.2024",51224,"AT",0.8146224,0.33091453,9,1,87,10,0.0008418183,38,1
"ESS11e01",11,"1.0","20.06.2024",51231,"AT",0.9982112,0.33091453,8,2,74,5,0.00068699295,48,44
"ESS11e01",11,"1.0","20.06.2024",51259,"AT",0.426831,0.33091453,7,1,24,2,0.0016066408,90,227
"ESS11e01",11,"1.0","20.06.2024",51262,"AT",1.3870435,0.33091453,7,1,59,6,0.000494407,35,757
"ESS11e01",11,"1.0","20.06.2024",51285,"AT",1.6104527,0.33091453,10,2,21,88,0.0004258207,59,90
"ESS11e01",11,"1.0","20.06.2024",51322,"AT",0.340339,0.33091453,8,1,32,7,0.002014944,11,394
"ESS11e01",11,"1.0","20.06.2024",51414,"AT",0.5560615,0.33091453,8,2,47,3,0.0012332522,101,284
"ESS11e01",11,"1.0","20.06.2024",51440,"AT",0.581818,0.33091453,8,1,45,9,0.0011786573,5,363
"ESS11e01",11,"1.0","20.06.2024",51455,"AT",2.165643,0.33091453,7,1,44,8,0.0003166561,53,61
"ESS11e01",11,"1.0","20.06.2024",51503,"AT",0.37437,0.33091453,8,1,68,2,0.0018317816,66,116
"ESS11e01",11,"1.0","20.06.2024",51504,"AT",0.4350144,0.33091453,5,1,20,1,0.0015764169,103,305
"ESS11e01",11,"1.0","20.06.2024",51506,"AT",2.495528,0.33091453,9,1,33,7,0.00027479717,48,39
"ESS11e01",11,"1.0","20.06.2024",51521,"AT",1.3608531,0.33091453,9,1,27,5,0.0005039222,2,550
"ESS11e01",11,"1.0","20.06.2024",51555,"AT",0.53514904,0.33091453,7,1,28,2,0.001281445,56,71
"ESS11e01",11,"1.0","20.06.2024",51578,"AT",1.2337465,0.33091453,9,1,73,10,0.00055583863,19,420
"ESS11e01",11,"1.0","20.06.2024",51581,"AT",0.6098981,0.33091453,9,1,62,4,0.0011243912,69,126
"ESS11e01",11,"1.0","20.06.2024",51596,"AT",0.8885217,0.33091453,8,1,58,6,0.0007718034,14,397
"ESS11e01",11,"1.0","20.06.2024",51650,"AT",0.5797645,0.33091453,10,2,90,77,0.001182832,87,215
"ESS11e01",11,"1.0","20.06.2024",51713,"AT",0.7275956,0.33091453,8,1,38,7,0.00094250706,61,99
"ESS11e01",11,"1.0","20.06.2024",51719,"AT",0.47378042,0.33091453,5,2,85,77,0.0014474301,24,438
"ESS11e01",11,"1.0","20.06.2024",51720,"AT",0.9658987,0.33091453,4,2,74,7,0.00070997514,17,410
"ESS11e01",11,"1.0","20.06.2024",51731,"AT",2.946434,0.33091453,9,1,42,9,0.00023274373,21,605
"ESS11e01",11,"1.0","20.06.2024",51735,"AT",0.51291066,0.33091453,7,2,51,3,0.0013370048,55,66
"ESS11e01",11,"1.0","20.06.2024",51736,"AT",0.95292634,0.33091453,6,1,76,2,0.0007196402,52,55
"ESS11e01",11,"1.0","20.06.2024",51739,"AT",1.7134386,0.33091453,7,2,70,77,0.0004002268,47,37
"ESS11e01",11,"1.0","20.06.2024",51741,"AT",1.112123,0.33091453,5,1,28,1,0.0006166261,101,285
"ESS11e01",11,"1.0","20.06.2024",51757,"AT",1.2219335,0.33091453,10,1,18,10,0.00056121225,38,3
"ESS11e01",11,"1.0","20.06.2024",51766,"AT",0.7366085,0.33091453,5,1,64,2,0.0009309749,21,600
"ESS11e01",11,"1.0","20.06.2024",51773,"AT",0.46543378,0.33091453,7,1,59,4,0.001473387,40,13
"ESS11e01",11,"1.0","20.06.2024",51780,"AT",1.6681843,0.33091453,9,2,49,8,0.0004110841,101,275
"ESS11e01",11,"1.0","20.06.2024",51802,"AT",0.7417395,0.33091453,9,1,70,3,0.00092453486,29,676
"ESS11e01",11,"1.0","20.06.2024",51857,"AT",0.5797645,0.33091453,8,2,71,2,0.001182832,87,218
"ESS11e01",11,"1.0","20.06.2024",51878,"AT",0.41946852,0.33091453,6,1,58,1,0.0016348403,76,168
"ESS11e01",11,"1.0","20.06.2024",51897,"AT",1.3340112,0.33091453,9,1,83,77,0.0005140617,28,656
"ESS11e01",11,"1.0","20.06.2024",51901,"AT",0.49469304,0.33091453,8,2,74,4,0.0013862415,82,195
"ESS11e01",11,"1.0","20.06.2024",51911,"AT",0.65483123,0.33091453,5,2,86,3,0.0010472379,36,816
"ESS11e01",11,"1.0","20.06.2024",51944,"AT",0.74874,0.33091453,7,2,26,77,0.0009158908,66,116
"ESS11e01",11,"1.0","20.06.2024",51959,"AT",1.6681842,0.33091453,9,1,52,6,0.00041108413,101,292
"ESS11e01",11,"1.0","20.06.2024",51961,"AT",2.165643,0.33091453,10,1,63,7,0.0003166561,53,62
"ESS11e01",11,"1.0","20.06.2024",51965,"AT",0.48294932,0.33091453,10,2,61,3,0.0014199504,17,412
"ESS11e01",11,"1.0","20.06.2024",51977,"AT",1.2197962,0.33091453,9,2,47,7,0.0005621956,69,129
"ESS11e01",11,"1.0","20.06.2024",51995,"AT",1.112123,0.33091453,8,1,70,5,0.0006166261,101,286
"ESS11e01",11,"1.0","20.06.2024",52009,"AT",0.71400285,0.33091453,9,2,67,6,0.00096045004,27,652
"ESS11e01",11,"1.0","20.06.2024",52020,"AT",0.88628477,0.33091453,8,1,68,9,0.0007737514,77,178
"ESS11e01",11,"1.0","20.06.2024",52035,"AT",1.021017,0.33091453,8,2,50,6,0.0006716481,11,394
"ESS11e01",11,"1.0","20.06.2024",52046,"AT",0.5023222,0.33091453,9,1,62,7,0.0013651877,8,378
"ESS11e01",11,"1.0","20.06.2024",52062,"AT",0.4820758,0.33091453,9,2,64,2,0.0014225233,41,18
"ESS11e01",11,"1.0","20.06.2024",52065,"AT",1.3078378,0.33091453,9,1,39,8,0.00052434945,109,322
"ESS11e01",11,"1.0","20.06.2024",52089,"AT",0.68042654,0.33091453,9,2,43,3,0.0010078443,2,565
"ESS11e01",11,"1.0","20.06.2024",52094,"AT",1.746908,0.33091453,8,1,47,6,0.00039255878,100,273
